0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,classes
0.625,0.375,0.75,0.625,0.375,0.75,0.625,0.375,0.75,0.625,0.375,0.75,0.3673133679628774,0.235426266879968,0.5575961157123623,55.45107881760447,21.00207859958914,149.97314728980274,0.5,1.375,2.5,3.5,4.25,0.375,1.75,2.375,2.75,3.375,0.375,1.25,2.125,3.25,4.25,0.375,1.0,1.625,2.125,2.625,0.375,1.375,2.5,4.0,4.5,0.625,2.0,2.625,3.25,4.375,distracted
0.375,0.5,0.625,0.375,0.5,0.625,0.375,0.5,0.625,0.375,0.5,0.625,0.5877625285892666,0.13765063772070243,0.39786390368809754,47.25735304533313,20.85975618229597,16.239548320414695,0.75,2.375,3.5,4.5,5.75,0.375,1.375,3.125,4.0,5.375,1.625,3.375,4.625,5.875,7.5,1.5,3.125,4.125,5.0,6.0,0.5,1.25,2.25,3.0,4.0,1.25,3.25,5.375,6.375,7.625,attentive
0.375,0.5,1.125,0.375,0.5,1.125,0.375,0.5,1.125,0.375,0.5,1.125,0.19595006159153427,0.2677811580864912,0.1886014781271116,18.634562154259218,9.837478867262496,109.62891579088692,0.5,1.375,2.125,3.0,4.0,1.75,2.75,3.625,4.625,6.0,0.5,2.125,3.125,4.25,6.125,0.75,1.75,2.625,3.625,5.875,0.375,1.25,3.0,4.125,5.125,0.375,1.375,2.25,3.375,4.125,attentive
0.375,0.5,0.625,0.375,0.5,0.625,0.375,0.5,0.625,0.375,0.5,0.625,0.08485348393371135,0.13555139927552876,0.2536882702908683,14.268966335447011,31.834325303907022,23.446679267022965,0.5,1.5,2.625,4.5,6.375,1.125,3.125,4.625,5.75,7.625,0.5,1.5,2.625,3.75,4.75,1.375,2.5,3.25,4.25,6.625,1.25,2.75,3.625,4.75,6.0,0.375,1.5,3.125,4.375,5.75,attentive
0.375,0.75,0.625,0.375,0.75,0.875,0.375,0.75,0.875,0.375,0.75,0.625,0.32322789580512135,0.3308054864061473,0.17743555688559984,91.33050171009911,47.84374660480205,58.953089648312634,0.375,1.5,2.125,3.0,3.625,0.625,2.25,3.0,4.125,4.625,0.25,0.875,1.625,2.75,3.375,0.625,1.625,2.25,3.0,4.25,0.375,1.0,1.5,3.125,3.875,1.0,1.75,2.375,2.875,3.5,attentive
0.375,0.5,1.125,0.375,0.5,1.125,0.375,0.5,1.125,0.375,0.5,1.125,0.23337235649872926,0.16045644840188292,0.13556653484345996,32.86836491294633,25.22752452075492,4.855376482848551,0.25,1.375,3.375,4.625,7.625,0.75,3.0,5.375,6.25,7.5,0.625,2.0,3.0,3.75,4.75,0.625,1.625,3.125,4.0,4.875,1.375,3.625,4.75,5.875,7.5,1.375,3.125,4.875,6.125,7.0,attentive
0.625,0.5,1.0,0.625,0.5,1.0,0.625,0.5,1.0,0.625,0.5,1.0,0.7553183946462454,0.41773907188889914,0.25023309220900886,37.20591408855676,47.23705357907311,88.80262226943131,0.25,0.75,1.25,2.75,3.25,0.5,0.875,1.5,2.125,2.875,1.0,1.625,2.875,3.25,3.75,0.375,1.0,1.75,2.125,2.625,0.375,1.625,2.125,2.75,3.75,0.25,0.75,1.125,1.75,2.75,distracted
0.375,0.875,0.75,0.375,0.875,0.75,0.375,0.875,0.75,0.375,0.875,0.75,0.3144621395596996,0.7017924323949634,0.44252956604968163,30.44282998102358,41.316547522604225,77.39096697575506,0.375,1.125,1.875,2.25,3.0,0.375,1.125,2.0,3.25,4.0,0.625,1.25,1.875,3.25,4.0,0.625,1.625,3.125,4.0,5.0,0.375,1.625,2.5,3.125,3.75,0.875,1.625,3.125,4.375,5.0,attentive
0.375,0.5,1.0,0.375,0.5,1.0,0.375,0.5,1.0,0.375,0.5,1.0,0.49003524321707287,0.3370694615776363,0.22440069376060823,31.190638780213657,25.258016469796083,96.95080622478577,0.75,1.375,2.25,3.0,3.625,0.625,1.75,2.75,3.875,4.5,0.625,1.625,3.0,4.5,5.5,0.5,3.125,4.0,4.875,6.125,0.75,2.75,3.375,4.375,5.25,0.5,1.5,3.0,3.875,4.75,attentive
0.625,0.375,0.75,0.625,0.375,0.75,0.625,0.375,0.75,0.625,0.375,0.75,0.2624618803529872,0.16325246286876893,0.4090837420338025,32.26107752114426,38.67355444237002,54.553294086833205,0.25,0.875,1.375,1.75,2.625,0.875,2.0,2.625,3.5,4.125,0.5,1.125,2.125,3.125,4.0,0.75,1.25,2.0,2.75,3.25,0.625,1.5,3.0,3.75,4.375,0.75,2.25,3.0,3.5,4.0,distracted
