0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,classes
1.0760151293556195,0.8512296000000064,0.9779254489260218,1.0352288000000105,1.3821556021479733,0.536690899999998,0.6642759252744698,0.975864999999999,1.1258991000000114,0.43544180000000415,0.5694777821479748,0.8797544000000056,0.6324276274463047,0.347089080000001,0.036844194152744876,0.671791399999998,0.1973374780190945,0.5376814599999954,-0.20839065372315013,0.6616820000000045,0.125,0.25,0.375,0.875,0.5,1.0,0.75,1.5,1.625,1.375,0.125,0.25,0.375,0.875,0.5,1.0,0.75,1.5,1.625,1.375,0.125,0.25,0.375,0.875,0.5,1.0,0.75,1.5,1.625,1.375,0.125,0.25,0.375,0.875,0.5,1.0,0.75,1.5,1.625,1.375,attentive
1.1576033727777746,0.8512296000000057,1.0068782717777753,1.0352288000000078,1.0498198502777818,0.5366908999999982,0.6882954804444452,0.975864999999999,0.7929925358888896,0.4354418000000037,0.5929929538888894,0.8797544000000026,0.5040287335277771,0.3470890800000026,0.056525955598611316,0.6717913999999964,0.2100989991388892,0.5376814599999967,-0.5649722755555554,0.6616820000000057,0.125,0.25,0.375,0.5,1.0,1.125,0.875,0.625,1.75,1.25,0.125,0.25,0.375,0.5,1.0,1.125,0.875,1.25,0.625,1.75,0.125,0.25,0.375,0.5,1.0,1.125,0.875,0.625,1.75,1.25,0.125,0.25,0.375,0.5,1.0,1.125,0.875,0.625,1.75,1.25,attentive
0.853563899712647,0.8512296000000055,1.0923216446551671,1.0352288000000072,0.35752391451149257,0.5366908999999983,0.832680047155172,0.975864999999999,0.42378071571838954,0.43544180000000365,0.5962827801436753,0.8797544000000018,0.47656553074712316,0.34708908000000255,0.02762538228936787,0.6717913999999966,0.18325720241379287,0.5376814599999971,-0.24262567813218408,0.6616820000000054,0.125,0.25,0.375,0.5,1.0,1.125,0.625,0.875,1.25,1.75,0.125,0.25,0.375,0.5,1.0,1.125,0.625,1.25,0.875,1.75,0.125,0.25,0.375,0.5,1.0,1.125,0.625,1.25,0.875,1.75,0.125,0.25,0.375,0.5,1.0,1.125,0.625,0.875,1.25,1.75,attentive
0.5212355999999982,0.696042015625002,0.5459118612500012,1.035228799999999,0.09496586999999966,0.4961630719791667,0.3709412564583325,0.975864999999999,0.3493250300000012,0.45801325468749954,0.5198850492187478,0.879754399999998,0.5416925499999977,0.7307536363541658,0.25321106500000057,0.6717914000000026,0.1745520200000001,0.7656310425000031,-0.13533649421875013,0.6616819999999992,0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.0,1.875,2.0,0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.0,1.875,2.0,0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.0,1.875,2.0,0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.0,1.875,2.0,attentive
1.0085519859090915,0.43156740000000204,0.29814510787878773,1.0148513348484864,0.8403357251893934,0.4270945199999981,0.19157514772727283,0.9652732639015142,1.0674825000000026,0.49648009999999987,0.5527431021969688,1.240395400000006,0.6581497161363606,1.3846045000000045,0.11582865884090893,0.7979335229924258,0.28510527628787785,1.154108500000005,-0.032988216560606215,0.45682444109848663,0.125,0.25,0.375,0.5,0.625,0.75,1.375,1.5,1.25,1.625,0.125,0.25,0.375,0.5,0.625,0.75,1.375,1.5,1.25,1.625,0.125,0.25,0.375,0.5,0.625,0.75,1.375,1.5,1.25,1.625,0.125,0.25,0.375,0.5,0.625,0.75,1.375,1.5,1.25,1.625,attentive
0.8559715443710665,0.25173301720125885,0.07221979991194984,0.9374649273270428,0.7611448469811297,0.3280311781132058,0.28663524383647765,0.8271647950000006,0.9742068399371063,0.6274468153459108,0.23936096424528247,1.120814881446536,0.6000444572327044,1.3776581091194997,0.17214026522012568,0.7433133083018855,0.3567805377987416,1.0611673216981088,0.02602110156440234,0.5732839842767282,0.125,0.25,0.375,0.5,0.625,1.125,1.25,1.0,1.375,2.0,0.125,0.25,0.375,0.5,0.625,1.125,1.25,1.0,1.375,2.0,0.125,0.25,0.375,0.5,0.625,1.125,1.25,1.0,1.375,2.0,0.125,0.25,0.375,0.5,0.625,1.125,1.25,1.0,1.375,2.0,attentive
0.888361121959064,0.23955676371344975,0.10234236419005859,0.985505807105258,0.7584376260233879,0.42300139619883104,0.1323387105964923,0.807112085380113,0.8327297663742701,0.529514582309944,0.42321878707602334,0.9902307664912193,0.523720748304095,1.334586021637425,0.07982886532046778,0.6901546140350864,0.27074156087719325,0.9801701002923989,-0.01403236247964914,0.5814588533918125,0.125,0.25,0.375,0.5,1.125,1.0,0.625,1.25,0.875,1.875,0.125,0.25,0.375,0.5,1.125,1.0,0.625,1.25,0.875,1.875,0.125,0.25,0.375,0.5,1.125,1.0,0.625,1.25,0.875,1.875,0.125,0.25,0.375,0.5,1.125,1.0,0.625,1.25,0.875,1.875,attentive
0.8392415000000077,0.5647073572023803,0.36076668191964173,0.8642776000000002,0.6674005399999962,0.3969405786904782,0.09935067969642854,0.7149858999999951,0.4320931400000032,0.6093644624999955,0.47556152288690323,0.7725473600000027,0.5056144000000026,1.3740601589285757,-0.02600069917261904,0.6073194999999968,0.18637532000000154,1.0787828401785777,-0.06440064954166654,0.58134776,0.125,0.25,0.375,0.5,1.125,0.625,1.0,1.25,1.875,0.875,0.125,0.25,0.375,0.5,0.625,1.125,1.0,1.25,1.875,0.875,0.125,0.25,0.375,0.5,1.125,0.625,1.0,1.25,1.875,0.875,0.125,0.25,0.375,0.5,1.125,0.625,1.0,1.25,1.875,0.875,attentive
1.1107898875000002,0.6055455999999994,0.46206135916666635,0.8642775999999986,0.9577881467857154,0.3910527199999992,0.1421443842261903,0.7149859000000013,0.9329948866666689,0.6224355699999976,0.2488754033928568,0.7725473600000017,0.8304175428571425,1.3807301999999955,0.21776565672619017,0.6073195000000017,0.33041910065476143,1.094299400000002,-0.0733833779345238,0.58134776,0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.0,1.125,2.125,0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.0,1.125,2.125,0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.0,1.125,2.125,0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.0,1.125,2.125,attentive
1.1519678626436758,0.5284201539655168,0.40670189244252736,0.8642775999999995,1.1600950149425275,0.27028566408045906,0.09711995029885054,0.7149858999999948,1.3364336566092003,0.6202326665229834,0.41028936867816085,0.7725473600000017,0.9938646988505796,1.4095913511494313,0.3100411546839074,0.6073194999999966,0.6146673004885058,1.0717696128735736,0.01747140891666663,0.58134776,0.125,0.25,0.375,0.5,1.0,1.125,0.625,1.25,0.875,1.75,0.125,0.25,0.375,0.5,1.0,1.125,0.625,1.25,0.875,1.75,0.125,0.25,0.375,0.5,1.0,1.125,0.625,1.25,0.875,1.75,0.125,0.25,0.375,0.5,1.0,1.125,0.625,1.25,0.875,1.75,attentive
