0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,classes
0.25,0.375,0.5,0.625,0.75,1.375,1.5,1.25,1.625,0.25,0.375,0.5,0.625,0.75,1.375,1.5,1.25,1.625,0.25,0.375,0.5,0.625,0.75,1.375,1.5,1.25,1.625,0.25,0.375,0.5,0.625,0.75,1.375,1.5,1.25,1.625,0.33376742035707946,0.3103432815446697,0.38113129761209036,0.596839086792835,0.258722997751496,0.3707020204236644,0.35431522594893455,0.1526114320275543,0.23756053764160498,0.1364057641778908,0.16551430141172246,0.4573816545113185,72.45066242676366,33.68778470101285,79.74850928681163,41.10175240122185,79.29754476083224,90.75477239751052,21.04812214678576,24.385053124415425,78.2005706162615,102.82329783988878,57.564900797401116,1.0,2.125,3.125,4.375,5.625,0.75,1.75,3.125,4.875,6.375,1.125,3.75,5.875,7.0,8.25,0.75,2.25,3.5,4.625,5.875,0.875,2.625,4.5,6.875,8.0,0.875,1.75,3.125,4.5,5.75,attentive
0.25,0.375,0.5,1.0,0.875,1.125,1.625,1.75,0.75,0.25,0.375,0.5,1.0,0.875,1.125,1.625,1.75,0.75,0.25,0.375,0.5,1.0,0.875,1.125,1.625,1.75,0.75,0.25,0.375,0.5,1.0,0.875,1.125,1.625,1.75,0.75,0.5804674917363745,0.5818008821745843,0.24895006475710463,0.37899580764820207,0.31576687246986573,0.37575715628901135,0.19928107487413826,0.19876415901201733,0.20127936780522024,0.1650993355455602,0.3209330057183162,0.40912319079922327,17.665000796841415,33.939131820232745,36.83893389412322,23.42102637631776,80.33131501594771,16.5141987424785,48.51963631429339,63.24457410821015,89.4204384218887,23.166379238359195,39.240666469543996,0.625,1.75,2.625,3.375,4.25,1.25,2.625,3.25,4.25,5.25,0.5,1.75,4.125,5.25,6.75,1.375,2.75,3.5,5.0,6.125,0.625,1.625,2.5,3.125,4.125,1.5,2.5,3.5,4.75,5.625,distracted
0.25,0.375,0.5,0.875,1.0,0.75,1.125,1.625,1.5,0.25,0.375,0.5,0.875,1.0,1.125,0.75,1.625,1.5,0.25,0.375,0.5,0.875,1.0,1.125,0.75,1.625,1.5,0.25,0.375,0.5,0.875,1.0,0.75,1.125,1.625,1.5,2.0127482515676487,0.7267706145570603,0.7146039249520484,0.16982409257813352,0.15292575907371414,0.6199589283073651,0.42006346904478375,0.31016122599921864,0.09709364748727138,0.20499164243553653,0.3944547479572288,0.5628292285155082,58.99215074893529,30.887008527108172,22.738701193838928,27.234246026811576,31.961751033337883,95.00453777440595,73.88242219040377,37.26617670977867,104.63868241879949,71.07789599437383,27.241444842524565,0.625,2.625,4.625,6.375,7.25,0.5,1.375,2.625,3.375,4.125,0.5,1.5,3.25,4.125,4.875,1.125,3.0,4.75,5.875,7.125,1.0,3.125,4.125,5.0,6.0,0.75,2.25,3.25,4.625,5.875,distracted
0.25,0.625,0.5,1.0,0.375,0.75,1.5,1.125,1.375,0.25,0.625,0.5,1.0,0.375,0.75,1.125,1.5,1.375,0.25,0.625,0.5,1.0,0.75,0.375,1.125,1.375,1.5,0.25,0.625,0.5,1.0,0.375,0.75,1.125,1.5,1.375,1.7321850516906458,2.4144206095047966,1.6155792344865176,1.0969215869996087,1.4048361168347636,2.230929686054539,1.2282396306791346,0.6457633500382547,0.492619144618734,0.5780460989941024,0.4629118015444367,0.8768511347280091,102.21477200229414,96.66218767466727,123.34206057935519,51.98729826964207,396.64113751728235,283.72358611691254,169.52010171068082,388.7851364144076,315.179875760478,155.85370559028652,191.48750756928467,0.125,0.625,1.0,1.25,1.625,0.25,0.75,1.0,1.375,2.375,0.375,0.625,1.125,1.75,2.25,0.125,0.625,1.0,1.25,1.5,0.125,0.625,1.0,1.375,1.625,0.125,0.375,0.625,1.0,1.25,distracted
0.25,0.375,0.5,1.125,0.625,1.0,1.25,1.875,0.875,0.25,0.375,0.5,1.125,0.625,1.0,1.25,1.875,0.875,0.25,0.375,0.5,1.125,0.625,1.0,1.25,1.875,0.875,0.25,0.375,0.5,1.125,0.625,1.0,1.25,1.875,0.875,0.48042314261886715,0.2424251978279525,0.22864241685834927,0.25181427087387753,0.16504870950721667,0.6957075559980186,0.34490438003422264,0.3342156859664857,0.1598027321960761,0.24694374872981742,0.2334103095837797,0.19432894586937588,25.820049260894166,18.417159789497685,28.359161388247077,50.7552089205492,48.38424955819117,56.58451175182574,42.962722162189095,18.12908851764098,51.35129456433744,25.09248774796637,52.76353508107634,0.625,2.25,3.625,4.75,5.75,0.625,1.75,3.5,4.625,5.625,0.75,2.0,3.25,4.875,5.875,0.75,1.75,2.625,3.625,4.75,1.25,2.875,3.625,4.875,7.25,0.875,1.75,2.875,3.875,5.0,attentive
0.25,0.375,0.5,0.875,1.0,0.75,1.625,1.5,1.125,0.25,0.375,0.5,0.875,1.0,0.75,1.5,1.625,1.125,0.25,0.375,0.5,0.875,1.0,0.75,1.5,1.625,1.125,0.25,0.375,0.5,0.875,1.0,0.75,1.625,1.5,1.125,2.3798686483823466,2.7684065209007955,1.7952930123083928,2.043188331480725,1.625334710051619,1.0296069107658303,1.0354586943296749,0.5538264487833457,0.509735273526203,0.8429510216392476,0.9001334529353114,1.0215365624007486,108.90771279300749,87.57371911746114,129.55886917794692,89.36389320411726,592.4090818107454,338.6588369858555,696.6631336189979,261.6945845127328,175.3344814541319,76.60678563863097,104.39875845775282,0.25,0.625,0.875,1.375,1.75,0.125,0.625,1.0,1.25,1.5,0.5,0.75,1.125,1.375,1.625,0.125,0.375,0.875,1.375,1.625,0.25,0.625,0.875,1.25,2.0,0.25,0.625,1.0,1.25,1.5,distracted
0.25,0.375,0.75,0.625,0.875,1.25,1.125,1.75,1.625,0.25,0.375,0.75,0.625,1.25,0.875,1.125,1.75,1.625,0.25,0.375,0.75,0.625,1.25,0.875,1.125,1.75,1.625,0.25,0.375,0.75,0.625,0.875,1.25,1.125,1.75,1.625,1.1609533549827376,0.7424520363002861,1.0226119101530384,0.1329120463113322,0.4804838091522498,0.46382598557122223,0.46160652067554614,0.39236224908955464,0.17069837472357402,0.2102793334418679,0.4595665735397192,0.19890395053207843,82.42450025697072,68.43292419758617,72.0257790534489,32.17796452454597,233.74801794896493,120.8513003368731,64.03579534917507,158.6004199514009,72.76543609880224,40.031705836752,52.553386255505536,0.375,1.0,1.5,2.375,3.125,0.375,1.75,2.5,3.5,4.25,0.375,1.5,2.0,2.75,3.375,0.75,1.75,2.75,3.5,4.125,0.375,1.625,2.75,3.5,4.5,0.25,0.75,1.5,3.0,3.75,distracted
0.25,0.375,0.5,0.625,1.125,1.25,1.0,1.375,2.0,0.25,0.375,0.5,0.625,1.125,1.25,1.0,1.375,2.0,0.25,0.375,0.5,0.625,1.125,1.25,1.0,1.375,2.0,0.25,0.375,0.5,0.625,1.125,1.25,1.0,1.375,2.0,0.1883963641795119,0.3104622529640989,0.09056098789565947,0.32106006312424057,0.41925368744649877,0.3201141892976075,0.4357476161768924,0.3569082542279297,0.14676835767783805,0.11090302157033391,0.0668653902920593,0.25352357001515297,25.812436679785552,33.44613516996807,23.459022056176998,40.58308383631497,36.628327749067,68.48802863938775,38.071712378327994,36.81602857634791,18.8776806495386,42.294414727110464,24.78973572901581,0.375,1.375,2.125,3.0,4.125,0.625,1.875,2.875,4.0,5.0,0.625,1.5,2.25,3.375,4.5,0.875,2.0,2.875,4.0,5.125,1.25,2.5,3.875,4.875,6.5,0.75,1.875,3.125,4.625,5.875,attentive
0.25,0.375,0.5,0.625,1.25,1.375,0.75,1.125,1.5,0.25,0.375,0.5,0.625,1.25,1.375,0.75,1.125,1.5,0.25,0.375,0.5,0.625,1.25,1.375,0.75,1.125,1.5,0.25,0.375,0.5,0.625,1.25,1.375,0.75,1.125,1.5,0.2702813674439295,0.18438723988031835,0.42452087409857536,0.423112427220041,0.07324165047703361,0.11316223502089906,0.15742521563729894,0.1763528429255182,0.11541463863895603,0.09510225952817217,0.22628912952868818,0.0733121825526112,15.777773772857616,17.79695653874215,31.384750848053333,15.617092251342354,40.38197173897205,38.77601646539955,21.930230114375995,19.143781132123205,26.16820285866865,54.932967481423326,33.11145673846115,0.5,1.375,2.625,4.375,5.5,0.875,2.125,4.0,5.125,6.125,1.125,2.875,4.625,6.875,8.125,0.5,1.25,2.125,3.25,4.25,0.5,1.5,2.625,3.75,4.5,0.5,1.75,3.0,4.125,5.25,attentive
0.25,0.625,0.375,0.75,0.5,1.125,1.0,1.5,2.0,0.25,0.625,0.375,0.75,0.5,1.125,1.0,1.5,2.0,0.25,0.625,0.375,0.75,0.5,1.125,1.0,1.5,2.0,0.25,0.625,0.375,0.75,0.5,1.125,1.0,1.5,2.0,0.2879511394116353,0.8935604148424057,0.6012394372288113,0.3403961423007773,0.26350363510571445,0.2389410245417194,0.5585581022793437,0.5479841982101901,0.37076293003328353,0.4042424073918591,0.34119164764698745,0.5687680497067487,47.655769435792784,40.023169119514414,52.34964528060922,53.18648683862991,98.91913687693982,45.915051990978114,82.90684689730887,126.73262325070593,18.72430317826288,31.39641999656573,54.80982242546434,0.25,0.75,1.375,2.375,3.375,0.25,0.75,1.25,1.75,2.25,0.25,0.75,1.25,1.75,2.25,0.375,1.125,1.75,2.625,3.0,0.875,1.75,2.375,3.375,4.375,0.75,1.5,2.125,2.875,3.625,distracted
