0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,classes
0.375,0.25,0.5,0.75,1.0,1.375,1.625,0.625,1.25,0.375,0.25,0.5,0.75,1.0,1.375,0.625,1.625,1.25,0.375,0.25,0.5,0.75,1.0,1.375,1.625,0.625,1.25,0.375,0.25,0.5,0.75,1.0,1.375,1.625,0.625,1.25,9.400304596567546,5.630266667482353,2.227804265168215,2.0366710242533705,1.8014217897041604,3.3123212235868214,1.9679045937019821,1.0177702359535172,0.5891460717118332,0.4166965581392965,0.6450699608949472,0.4270205959985269,137.41339811131974,110.62567533718925,50.06461823226994,44.03440533009396,467.0439902349922,117.57722375318497,181.79721302347386,161.41633462162943,292.56739927630423,346.15839437113357,223.52694557703336,0.25,0.625,1.5,1.875,2.25,0.25,0.625,1.0,1.375,1.75,0.25,0.75,1.5,2.25,2.625,0.25,0.625,1.375,1.75,2.125,0.25,0.625,1.625,2.25,2.625,0.25,0.625,1.0,1.25,1.625,distracted
0.25,0.5,0.625,1.0,0.875,1.375,1.75,1.25,2.125,0.25,0.5,0.625,1.0,0.875,1.375,1.75,2.125,1.25,0.25,0.5,0.625,1.0,0.875,1.375,1.75,2.125,1.25,0.25,0.5,0.625,1.0,0.875,1.375,1.75,1.25,2.125,3.254705475337307,2.6194963057775826,1.8301132004506078,1.8177141605544527,0.7241799331568296,2.710594822892698,0.7168114198374808,1.0815757264584138,0.3260946021974845,0.32845691582648234,0.4084925028391159,0.17149443472848688,194.4017977880426,68.7985337658499,106.66572446041928,23.907742359700073,433.85562326973456,255.53009605218156,199.03324143024417,172.8570647368581,341.5011140063433,207.0891353522699,156.45850498420913,0.375,0.75,1.375,1.875,3.0,0.25,0.75,1.25,2.0,2.375,0.25,0.625,1.5,2.25,2.875,0.5,1.125,2.375,2.875,3.875,0.25,0.75,1.375,2.0,3.125,0.625,2.25,3.375,4.25,4.625,distracted
0.25,0.5,0.375,0.75,1.125,1.375,1.0,0.875,2.0,0.25,0.5,0.375,0.75,1.125,1.375,1.0,0.875,1.75,0.25,0.5,0.375,0.75,1.125,1.375,1.0,0.875,1.75,0.25,0.5,0.375,0.75,1.125,1.375,1.0,0.875,1.75,2.0667245001047507,0.7966712028722442,0.9449397206822898,0.5955301996250792,0.9172941620454759,1.2069430281802345,0.4875024834448397,0.6330356949702685,0.36908761430607867,0.4920172136577521,0.12094741379851974,0.3806256728082596,75.78610685043607,104.86654959682586,27.71153541490163,87.01691840814189,118.5944484578825,79.78183071718485,135.27530345575016,161.12976863224267,165.83350281372367,98.41537990048658,123.32587813255302,0.375,0.75,1.0,1.5,2.0,0.375,0.75,1.375,1.75,2.25,0.25,0.625,1.125,1.5,1.875,0.375,0.875,1.375,1.875,2.25,0.375,0.875,1.125,1.625,2.0,0.25,0.625,1.125,1.625,2.0,distracted
0.25,0.5,0.625,0.875,1.25,1.0,1.625,2.0,1.375,0.25,0.5,0.625,0.875,1.25,1.0,1.625,1.375,2.0,0.25,0.5,0.625,0.875,1.25,1.0,1.625,1.375,2.0,0.25,0.5,0.625,0.875,1.25,1.0,1.625,2.0,1.375,7.464317816528297,1.607981677174675,1.3113703450544836,0.7554901850385884,1.9101224881751246,2.395435833587796,2.3174302838064476,2.8658812064685018,1.727970473172078,1.5013530816241385,0.39326768948520585,0.6597395925643205,432.8812306586731,392.5828436761324,212.10481125545235,246.78576987014006,799.5012369341254,432.419203035385,452.7577583683921,421.101174034622,753.754577683695,666.3910301280321,562.8061697977056,0.25,1.0,1.5,1.875,2.375,0.125,0.5,0.75,1.25,1.5,0.25,0.625,1.25,1.5,1.875,0.125,0.375,1.125,1.5,1.875,0.25,0.625,1.0,1.25,1.5,0.125,0.5,0.75,1.0,1.375,distracted
0.25,0.625,0.5,0.375,0.75,1.0,1.125,1.5,1.875,0.25,0.625,0.5,0.375,0.75,1.0,1.125,1.5,1.875,0.25,0.625,0.375,0.5,0.75,1.0,1.125,1.5,1.375,0.25,0.625,0.5,0.375,0.75,1.0,1.125,1.5,1.875,1.2045141723948842,1.3196030815086892,0.585068809752905,1.122432193299146,0.758823381108352,0.9117346095956987,1.4776928029542893,1.4591244009737703,0.2827801851033021,0.3154363212903466,0.23414196198315693,0.7900162858798464,110.6623584383079,92.55980701718539,68.11925421198588,123.06634826614453,176.20529002771693,158.41477245171856,124.49539732660303,313.9843853244683,138.16589808165654,122.72282611351461,71.11578255244628,0.375,0.875,1.375,1.875,2.75,0.25,0.75,1.25,1.75,2.125,0.875,1.75,2.375,2.875,4.0,0.625,1.25,2.25,2.875,3.5,0.375,1.0,2.375,2.75,3.375,0.625,1.0,1.5,2.0,2.5,distracted
0.25,0.375,0.875,0.5,1.0,0.75,1.5,1.625,1.375,0.25,0.375,0.875,0.5,1.0,0.75,1.5,1.625,1.375,0.25,0.375,0.875,0.5,1.0,0.75,1.5,1.625,1.375,0.25,0.375,0.875,0.5,1.0,0.75,1.5,1.625,1.375,7.1619076876605074,5.325118804904993,4.980855740304336,1.703288101030682,0.36748613989860723,4.404658279040227,3.4451329673067588,2.7578103394417366,0.7259872952106473,0.46242510076265203,0.2545929793845039,0.768212553407105,432.13495842982303,272.79061949030825,60.36641895352532,45.603499550921086,528.7886914035613,22.04891440024234,68.41231605228995,60.07516455165,160.83384819944,85.08164783460725,73.17710165195295,0.375,1.875,2.25,3.625,4.375,0.5,1.75,3.0,4.125,4.875,0.375,1.75,2.75,4.375,5.0,1.25,1.75,3.125,4.625,5.625,0.625,2.375,4.625,5.25,6.375,0.5,2.25,3.75,4.625,5.625,attentive
0.25,0.625,0.5,1.0,0.375,0.75,1.125,1.5,1.375,0.25,0.625,0.5,1.0,0.375,0.75,1.125,1.5,1.375,0.25,0.625,0.5,1.0,0.375,0.75,1.125,1.5,1.375,0.25,0.625,0.5,1.0,0.375,0.75,1.125,1.5,1.375,3.6507032483004114,0.7261150027806043,1.3029980969437482,1.2753964529323922,1.7257824647904174,1.1393162898376605,1.1154153189284168,1.6058906626932685,0.4575621285508348,0.47454279847334685,0.5556666161013183,0.47724856090918516,119.75510118085812,232.73228952613331,40.19328266928051,96.06059722384923,246.44253851780653,246.51558779463917,139.53965549549574,64.60246798475391,107.11012715011383,164.36731487556455,179.4545745489145,0.25,0.75,1.125,2.0,2.375,0.25,0.75,1.25,2.25,3.0,0.5,1.0,1.5,2.125,2.5,0.25,0.625,1.25,2.0,2.375,0.25,0.875,1.625,2.5,3.25,0.75,1.25,1.875,2.625,3.0,distracted
0.25,0.375,0.75,0.625,1.25,1.125,0.875,1.625,1.75,0.25,0.375,0.75,0.625,1.25,1.125,0.875,1.625,1.75,0.25,0.375,0.75,0.625,1.25,1.125,0.875,1.625,1.75,0.25,0.375,0.75,0.625,1.25,1.125,0.875,1.625,1.75,1.1193825440577851,1.2088231916382766,1.085282044775827,1.1738758695853102,0.8614743605979595,1.0010768974659536,1.0973555068910765,0.6290162303349537,0.514829794790019,0.4072718625628454,0.04451458173515324,0.3621045447313707,113.3435739378464,70.1816247880734,48.218708037132316,61.581180210702726,107.15104851591394,83.58735241995248,100.34528984898287,69.8580979901345,62.60865741012317,92.22840249619928,78.76205122563836,0.5,1.125,1.75,2.25,2.875,0.5,1.125,1.625,2.25,3.25,0.375,1.0,1.875,2.5,3.5,0.5,1.125,2.125,2.75,3.375,0.5,1.0,1.625,2.25,2.75,0.5,1.625,2.375,3.0,3.875,distracted
0.25,0.375,0.5,1.0,1.125,0.875,0.625,1.75,1.25,0.25,0.375,0.5,1.0,1.125,0.875,0.625,1.25,1.75,0.25,0.375,0.5,1.0,1.125,0.875,0.625,1.75,1.25,0.25,0.375,0.5,1.0,1.125,0.875,0.625,1.75,1.25,0.3458140578615838,0.9061049842419707,0.8942672180732029,0.2843354964357963,0.42620871105270264,0.6491177188996413,0.39906532763364005,0.3563349335348249,0.22641367958149877,0.2034297129376146,0.18507640596527125,0.17406206843520497,50.68881290870544,53.946240745204776,34.34181820467926,35.2395592275193,98.05118004683418,56.426145106739554,24.396016281555433,43.87245930343608,57.494635663434536,31.38510217180752,28.645869283829576,0.375,1.125,2.125,3.0,3.625,0.5,2.0,2.625,3.625,5.5,1.125,2.125,3.0,3.875,5.25,0.875,1.75,2.625,3.5,5.125,1.0,2.0,3.5,4.625,6.375,0.5,1.25,2.125,3.5,4.5,attentive
0.25,0.375,0.75,0.625,1.25,1.125,0.875,1.625,1.75,0.25,0.375,0.75,0.625,1.25,1.125,0.875,1.625,1.75,0.25,0.375,0.75,0.625,1.25,1.125,0.875,1.625,1.75,0.25,0.375,0.75,0.625,1.25,1.125,0.875,1.625,1.75,1.9074712415020556,1.244113375992036,1.114668404673257,0.5001131230575432,0.9227837751087163,0.719192588945064,0.9622457283019704,0.4037821413046152,0.9035301384270671,0.19938071305665406,0.15776367846277534,0.4498487389020738,77.1987506451936,81.09260380908786,26.81602922201442,21.1052235733973,133.97616126634176,163.60103606153453,59.94754764349021,64.83575367533902,235.06784925331084,194.52284701230317,231.33125680511182,0.375,1.125,2.125,2.625,3.25,0.25,0.875,1.375,1.875,2.375,1.125,2.25,3.0,4.75,5.5,0.75,1.875,2.875,3.75,4.375,0.375,1.25,1.875,2.875,4.0,0.25,0.875,1.375,2.125,3.125,distracted
