0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,classes
0.25,0.375,0.875,0.75,0.5,1.0,1.5,1.375,2.0,0.25,0.375,0.875,0.75,0.5,1.0,1.5,1.375,2.0,0.25,0.375,0.875,0.75,0.5,1.0,1.5,1.375,2.0,0.25,0.375,0.875,0.75,0.5,1.0,1.5,1.375,2.0,2.685765814970445,2.295691845319781,2.744604989475735,1.2414876760041234,0.9308678268534117,2.9476074719066756,2.3548648124853813,0.7244444537645457,1.111840653724403,0.9100917152269166,0.34025923417256254,0.27488766106564677,320.0116531479181,256.8440201840866,124.2145120752668,82.8536374852438,389.08993801241115,297.61055716768055,381.1756380577601,91.70000712970624,354.7393652803918,289.64199113981545,112.86394183058647,0.375,1.625,2.375,3.75,5.25,0.5,1.625,2.5,3.125,4.625,0.25,1.0,1.75,2.625,3.5,0.75,1.75,2.75,3.875,4.375,0.375,1.375,2.5,3.75,5.125,0.5,1.375,2.25,3.25,4.625,attentive
0.25,0.375,0.75,0.875,0.625,1.25,1.375,1.875,1.75,0.25,0.375,0.75,0.875,0.625,1.25,1.375,1.875,1.75,0.25,0.375,0.75,0.875,0.625,1.25,1.375,1.875,1.75,0.25,0.375,0.75,0.875,0.625,1.25,1.375,1.875,1.75,3.283599649021665,3.1995013638364105,2.198771778516668,1.934171623702065,2.031058222284375,3.023137043910701,2.3445680017911985,2.151112946019581,2.2991242251341677,1.0895375039247732,0.1367194501236814,0.37567555713105166,218.27094351132087,268.3822468682261,225.09328593241008,300.0702607603574,418.4157893519012,193.41555666275957,140.46873304491078,201.3561839231001,351.2577620705985,330.8939422459621,118.26270997397847,0.5,1.125,1.75,2.375,2.875,0.75,1.5,2.125,2.875,3.625,0.5,1.125,2.125,2.875,3.5,0.5,1.25,1.75,2.25,2.875,0.5,1.25,1.875,2.5,3.0,0.625,1.375,2.0,2.75,3.375,attentive
0.25,0.375,0.5,1.0,1.125,0.875,1.75,0.625,1.25,0.25,0.375,0.5,1.0,1.125,0.875,0.625,1.75,1.25,0.25,0.375,0.5,1.0,1.125,0.875,0.625,1.75,1.25,0.25,0.375,0.5,1.0,1.125,0.875,1.75,0.625,1.25,2.397421895971819,0.7320069712958307,0.9457229580828986,0.7959431176354096,0.4151663176399778,0.3914603399093617,1.2209806014752012,0.7655415954933505,0.32811911248679076,0.4618862305162933,0.48395672883728263,0.22928352099617122,140.12704981358405,51.57026995295673,10.11907588293401,18.174173727314283,160.93438057498417,171.86024523513657,86.59089891336149,51.27057666223593,171.08106574394094,192.90557839849384,154.58818335866442,0.75,2.5,3.375,4.625,6.0,0.375,1.875,2.75,4.125,5.0,1.0,2.0,2.75,3.75,4.625,0.25,2.25,5.125,7.125,7.875,1.125,2.375,3.5,4.375,5.375,0.625,2.125,3.0,3.875,5.0,attentive
0.25,0.375,0.5,0.625,0.75,0.875,1.625,1.75,1.5,0.25,0.375,0.5,0.625,0.75,0.875,1.625,1.75,1.5,0.25,0.375,0.5,0.625,0.75,0.875,1.625,1.75,1.5,0.25,0.375,0.5,0.625,0.75,0.875,1.625,1.75,1.5,0.42653369050767537,0.42181100139420935,0.1624742058335728,0.24394547315831214,0.15641345994539546,0.5320112295990005,0.22696055498680628,0.17077304301593788,0.1228725264327221,0.10207425222749993,0.22951645652627883,0.07371909908381696,50.38402311260826,26.455039736714287,24.548203283676152,8.57221313206802,59.77758165495962,25.349721446508294,17.59919003152797,21.31395872212819,66.93909074907737,19.94679847762146,16.764624721578304,1.375,4.25,6.625,8.25,13.0,0.875,2.625,5.125,6.5,8.0,1.875,4.75,6.375,7.625,9.125,1.125,2.625,3.875,5.0,6.375,1.25,3.75,5.125,6.25,7.5,1.0,2.375,3.875,6.125,7.375,attentive
0.25,0.375,0.5,1.0,0.875,1.125,1.625,1.75,0.75,0.25,0.375,0.5,1.0,0.875,1.125,1.625,1.75,2.375,0.25,0.375,0.5,1.0,0.875,1.125,1.625,1.75,2.375,0.25,0.375,0.5,1.0,0.875,1.125,1.625,1.75,0.75,0.8693613053057124,0.31431859816376806,0.31469888796210305,0.3608759231574322,0.2545999492134179,0.5288651407105228,0.2482842643689136,0.14101242199286187,0.20845245295420026,0.09120428076372439,0.14530999403472195,0.21170760474716252,50.36373314432476,51.30072188508168,27.51905287600876,33.79844478731009,114.88882081031134,60.95166758183314,41.35314549978086,46.45262568201539,39.30115264911782,65.61741644363252,18.743030694008592,1.0,3.25,4.375,5.5,6.5,0.75,1.5,2.375,3.25,4.125,0.875,1.75,3.875,5.0,6.875,0.5,1.5,2.25,3.125,3.625,0.75,1.5,2.5,3.5,4.625,1.375,2.25,2.875,3.625,4.5,attentive
0.25,0.5,0.375,0.75,1.125,0.875,1.375,1.75,1.5,0.25,0.5,0.375,0.75,1.125,0.875,1.375,1.75,1.5,0.25,0.5,0.375,0.75,1.125,0.875,1.75,1.375,1.5,0.25,0.5,0.375,0.75,1.125,0.875,1.375,1.75,1.5,24.43232446176484,6.207593624406912,8.737726901733843,5.775295505045652,6.462242347800614,8.503667829074937,5.05317768839832,2.5674308612470016,3.7319796267950642,4.5373627179017,4.193005337270849,6.210353889026932,414.0490642476417,1100.3761144514947,846.3751937252895,731.2535994947789,1361.5641262983343,1250.3533644831143,1082.1547066241835,1459.510947664746,1831.7625240137957,748.5660677817345,1275.98306435469,0.125,0.625,0.875,1.125,1.375,0.5,1.25,1.625,2.0,2.75,0.25,0.875,1.25,1.75,2.0,0.5,0.75,1.375,1.625,2.0,0.25,0.875,1.125,1.5,1.75,0.125,0.75,1.0,1.625,1.875,distracted
0.25,0.375,0.5,1.0,0.875,1.125,1.75,1.625,0.625,0.25,0.375,0.5,1.0,0.875,1.125,1.75,1.625,0.625,0.25,0.375,0.5,1.0,0.875,1.125,1.75,1.625,0.625,0.25,0.375,0.5,1.0,0.875,1.125,1.75,1.625,0.625,10.558072924166181,3.6359705627543772,2.5948108726806174,1.1509509636606625,1.8798522621258897,0.8431024612408528,1.5979055354410294,3.0531997711003886,0.8357181536558933,1.4372660574263862,0.4691795013769525,0.4684023584871506,418.9162232743788,238.17391238427666,164.8212913097382,180.97161151908634,489.2771487384099,196.08515735678708,363.7689857446787,336.32088777249584,499.69798747315474,217.13133687464688,42.23998543751144,0.5,1.875,2.75,4.0,4.625,0.375,1.0,1.875,2.75,3.5,0.5,1.875,2.875,3.875,5.625,0.375,1.125,2.0,2.625,3.375,0.5,1.5,2.25,3.125,4.0,0.625,1.625,3.0,3.875,4.625,attentive
0.25,0.375,0.5,1.125,0.625,1.0,1.25,1.875,0.875,0.25,0.375,0.5,1.125,0.625,1.0,1.25,1.875,0.875,0.25,0.375,0.5,1.125,0.625,1.0,1.25,1.875,0.875,0.25,0.375,0.5,1.125,0.625,1.0,1.25,1.875,0.875,3.635585185871772,2.7617092842372615,1.1297488586130493,1.4600367865247996,0.7119687865213215,1.7296105562357942,1.5990892658387375,0.8205187295639386,0.23013665124455074,0.4695790429332608,0.3770299153488833,0.5734448802989511,256.23222029359556,200.52690948588838,42.632687925869256,52.80652484104391,380.59050628557384,301.78825149502194,314.1359387535362,248.90261935451994,155.00777128421012,65.82583594071242,53.11226649264113,0.5,1.375,2.25,3.125,4.125,0.5,1.375,2.375,3.375,4.625,0.625,1.375,2.375,3.25,4.25,0.5,1.375,2.25,3.125,3.75,0.5,1.5,2.375,3.25,4.125,0.5,1.875,2.875,3.75,4.625,attentive
0.25,0.375,0.5,0.625,0.75,0.875,1.0,1.75,1.875,0.25,0.375,0.5,0.625,0.75,0.875,1.0,1.75,1.875,0.25,0.375,0.5,0.625,0.75,0.875,1.0,1.75,1.875,0.25,0.375,0.5,0.625,0.75,0.875,1.0,1.75,1.875,3.2050350827669396,1.646244621618186,0.7171622685567441,0.4839332838128634,0.2944287734009324,1.2260902647286611,0.4658395528780789,0.36340294078652696,0.17996221510232382,0.15386092308820165,0.7186941508336782,0.6116596204644865,145.91093540205216,139.51144179770716,109.39626032028355,63.51521835994837,417.1389543321648,271.4200355317473,224.9826106397429,162.14755162599613,146.28176120155192,81.8418418067302,57.51801963057668,1.0,2.625,5.25,6.625,8.0,2.125,4.875,7.5,9.125,10.625,1.625,4.75,6.625,10.5,14.375,1.25,3.0,4.125,7.125,8.625,0.75,2.375,5.25,7.75,9.625,1.375,2.75,4.5,7.125,9.125,attentive
0.25,0.375,0.5,1.0,0.875,1.125,1.75,1.625,0.625,0.25,0.375,0.5,1.0,0.875,1.125,1.75,1.625,0.625,0.25,0.375,0.5,1.0,0.875,1.125,1.75,1.625,0.625,0.25,0.375,0.5,1.0,0.875,1.125,1.75,1.625,0.625,4.464131645665334,1.3790334178341954,1.1865349214620542,0.19166368811190315,0.7547468006589118,1.1566155279209178,0.7848610790472017,0.48910282365760777,0.7792640694360858,0.5628104615474039,0.5284439123376724,0.33720906114776483,106.83968547525356,198.5430505772505,119.60987970343892,100.83077840272331,329.05228609240964,167.0271033146067,123.14172365958426,105.78164731623957,20.224534639089942,46.059720068003976,26.404957436967997,0.75,1.625,2.375,3.125,3.75,0.375,1.125,1.875,2.625,3.375,0.5,1.375,2.125,3.125,4.125,0.5,1.375,2.375,3.75,4.75,0.5,2.25,4.125,6.0,6.875,1.25,2.625,5.75,7.0,8.25,attentive
