0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,classes
0.375,0.25,0.5,0.75,1.0,1.375,1.625,0.625,1.25,0.375,0.25,0.5,0.75,1.0,1.375,0.625,1.625,1.25,0.375,0.25,0.5,0.75,1.0,1.375,1.625,0.625,1.25,0.375,0.25,0.5,0.75,1.0,1.375,1.625,0.625,1.25,0.10059106473406933,0.9964553955920958,0.00039782280892805566,3.916029825937099e-05,7.288882989941789e-06,3.472839967898455,-1.1717724874338895,-3.907980403782555,1.2959598154894705,-0.06843345522888233,-0.9179437002031303,1.0119081459437025,0.67430373671522,21.923418648472712,0.1126708984375,7.28240966796875,-4.942169189453125,-0.710296630859375,0.08612060546875,0.99072265625,4.732818603515625,-12.747955322265625,-12.164764404296875,0.07891845703125,0.02655029296875,0.01104736328125,2.549591064453125,7.8057861328125,11.4544677734375,0.101806640625,0.9962158203125,5.839385986328125,-6.759033203125,-2.758941650390625,0.019945495955930894,0.006257818969846523,0.0026997931383611205,1.8635557324369065,0.997785520143327,0.9922790588044826,0.9583187023414117,0.973485565554129,0.9933036319851396,0.9768901276617931,9.400304596567546,5.630266667482353,2.227804265168215,2.0366710242533705,1.8014217897041604,3.3123212235868214,1.9679045937019821,1.0177702359535172,0.5891460717118332,0.4166965581392965,0.6450699608949472,0.5067965532055129,0.4124331165594455,0.47585358038324727,0.4270205959985269,137.1407359772993,137.41339811131974,110.62567533718925,50.06461823226994,44.03440533009396,946.0704245861151,467.0439902349922,117.57722375318497,181.79721302347386,161.41633462162943,332.394263269552,319.9791273570632,292.56739927630423,346.15839437113357,223.52694557703336,0.25,0.625,1.5,1.875,2.25,0.25,0.625,1.0,1.375,1.75,0.25,0.75,1.5,2.25,2.625,0.25,0.625,1.375,1.75,2.125,0.25,0.625,1.625,2.25,2.625,0.25,0.625,1.0,1.25,1.625,distracted
0.25,0.5,0.625,1.0,0.875,1.375,1.75,1.25,2.125,0.25,0.5,0.625,1.0,0.875,1.375,1.75,2.125,1.25,0.25,0.5,0.625,1.0,0.875,1.375,1.75,2.125,1.25,0.25,0.5,0.625,1.0,0.875,1.375,1.75,1.25,2.125,0.11365081042778201,0.9933598215987043,0.00013455720758819882,3.904783330112824e-05,6.5795554281990165e-06,2.6371034410796286,-1.091595931877446,-1.5950025449412577,2.4649639981559597,-0.5575560130320509,0.3046409817939195,0.5041630614865764,0.9276568009941006,2.1655914496437267,0.12615966796875,7.663726806640625,-4.486083984375,3.06549072265625,0.09759521484375,0.985595703125,4.344024658203125,-11.566619873046875,-16.58355712890625,0.054931640625,0.028564453125,0.01513671875,3.3197021484375,7.080535888671875,19.6490478515625,0.1141357421875,0.99334716796875,5.8319091796875,-6.332855224609375,-2.295379638671875,0.01159987963679791,0.0062488265539322055,0.002565064410146267,1.6239160819080611,0.990986043992024,0.9871923819580758,0.9384534756824355,0.976265315036669,0.9913951226750194,0.9959527250202805,3.254705475337307,2.6194963057775826,1.8301132004506078,1.8177141605544527,0.7241799331568296,2.710594822892698,0.7168114198374808,1.0815757264584138,0.3260946021974845,0.32845691582648234,0.4084925028391159,0.47877817500634856,0.4045269424950425,0.1848163490376264,0.17149443472848688,150.3936826526498,194.4017977880426,68.7985337658499,106.66572446041928,23.907742359700073,510.25373941020234,433.85562326973456,255.53009605218156,199.03324143024417,172.8570647368581,1221.4950914033632,280.75730493461236,341.5011140063433,207.0891353522699,156.45850498420913,0.375,0.75,1.375,1.875,3.0,0.25,0.75,1.25,2.0,2.375,0.25,0.625,1.5,2.25,2.875,0.5,1.125,2.375,2.875,3.875,0.25,0.75,1.375,2.0,3.125,0.625,2.25,3.375,4.25,4.625,distracted
0.25,0.5,0.375,0.75,1.125,1.375,1.0,0.875,2.0,0.25,0.5,0.375,0.75,1.125,1.375,1.0,0.875,1.75,0.25,0.5,0.375,0.75,1.125,1.375,1.0,0.875,1.75,0.25,0.5,0.375,0.75,1.125,1.375,1.0,0.875,1.75,0.12278133147861245,0.9930577122458812,2.529378253720576e-05,1.1314952791739353e-05,6.82958525885577e-06,0.499944083066305,-0.411364041567801,-1.3308039136513052,-1.0279574078360245,0.8313582117776468,0.2764988882955701,-0.06984568119074241,-0.6932655940123191,1.6911327209320115,0.130126953125,6.826324462890625,-5.1141357421875,-1.5850830078125,0.11273193359375,0.985595703125,4.717864990234375,-7.783355712890625,-6.452484130859375,0.017578125,0.01739501953125,0.0137939453125,2.10845947265625,2.669219970703125,4.867401123046875,0.12347412109375,0.992919921875,5.6524658203125,-6.14593505859375,-2.669219970703125,0.005029292448963945,0.0033637706211540872,0.0026133475197255666,0.7070672408380302,0.9760506042709722,0.9764088141146116,0.9054963245110963,0.9567548891103014,0.9720075394131892,0.9894428979216154,2.0667245001047507,0.7966712028722442,0.9449397206822898,0.5955301996250792,0.9172941620454759,1.2069430281802345,0.4875024834448397,0.6330356949702685,0.36908761430607867,0.4920172136577521,0.12094741379851974,0.06747899763410421,0.20000890192701615,0.3984066509016482,0.3806256728082596,74.74760052089395,75.78610685043607,104.86654959682586,27.71153541490163,87.01691840814189,197.34645900806163,118.5944484578825,79.78183071718485,135.27530345575016,161.12976863224267,370.67453059290654,341.77872404693454,165.83350281372367,98.41537990048658,123.32587813255302,0.375,0.75,1.0,1.5,2.0,0.375,0.75,1.375,1.75,2.25,0.25,0.625,1.125,1.5,1.875,0.375,0.875,1.375,1.875,2.25,0.375,0.875,1.125,1.625,2.0,0.25,0.625,1.125,1.625,2.0,distracted
0.25,0.5,0.625,0.875,1.25,1.0,1.625,2.0,1.375,0.25,0.5,0.625,0.875,1.25,1.0,1.625,1.375,2.0,0.25,0.5,0.625,0.875,1.25,1.0,1.625,1.375,2.0,0.25,0.5,0.625,0.875,1.25,1.0,1.625,2.0,1.375,0.11996109314191067,0.9937236947073064,0.00017055295030025684,3.7180223338139804e-05,1.480928211737882e-05,2.9654927115851226,0.4916011661844849,1.3407122481656195,0.7391789042307724,0.9054632894965877,0.8498120390296973,8.239867217353668,2.321700798823737,9.774090728988387,0.13140869140625,7.888031005859375,0.814971923828125,10.729217529296877,0.0987548828125,0.98150634765625,0.22430419921875,-10.489959716796877,-13.405914306640625,0.08538818359375,0.03265380859375,0.0223388671875,7.663726806640625,11.304931640625002,24.1351318359375,0.12103271484375,0.99383544921875,5.420684814453125,-6.302947998046875,-2.73651123046875,0.0130595922715932,0.006097558801531955,0.0038482830090026928,1.7220606004392303,0.9760770595931907,0.9803398396408655,0.9283917718722257,0.9805516571985957,0.9746052319361845,0.976451436740206,7.464317816528297,1.607981677174675,1.3113703450544836,0.7554901850385884,1.9101224881751246,2.395435833587796,2.3174302838064476,2.8658812064685018,1.727970473172078,1.5013530816241385,0.39326768948520585,0.4444194356784462,0.9872100506245339,0.5924915535938161,0.6597395925643205,365.1664234242099,432.8812306586731,392.5828436761324,212.10481125545235,246.78576987014006,468.95436818835344,799.5012369341254,432.419203035385,452.7577583683921,421.101174034622,817.563894610773,466.2022482926564,753.754577683695,666.3910301280321,562.8061697977056,0.25,1.0,1.5,1.875,2.375,0.125,0.5,0.75,1.25,1.5,0.25,0.625,1.25,1.5,1.875,0.125,0.375,1.125,1.5,1.875,0.25,0.625,1.0,1.25,1.5,0.125,0.5,0.75,1.0,1.375,distracted
0.25,0.625,0.5,0.375,0.75,1.0,1.125,1.5,1.875,0.25,0.625,0.5,0.375,0.75,1.0,1.125,1.5,1.875,0.25,0.625,0.375,0.5,0.75,1.0,1.125,1.5,1.375,0.25,0.625,0.5,0.375,0.75,1.0,1.125,1.5,1.875,0.107515869140625,0.99531982421875,4.5873567039063185e-05,3.731945470497866e-05,1.914241079097995e-05,1.6174551835734527,0.18757042375509608,0.7021920341594077,-0.2172118582033371,-0.7595682737900291,1.164632180802406,0.050464934163160446,-1.0408444335738587,1.406691113422796,0.1192626953125,7.409515380859375,-3.7982177734375,-0.500946044921875,0.09405517578125,0.9842529296875,4.44122314453125,-8.396453857421875,-4.732818603515625,0.030029296875,0.02520751953125,0.02362060546875,2.968292236328125,4.598236083984375,4.23187255859375,0.1085205078125,0.99560546875,5.689849853515625,-6.3141632080078125,-2.8299713134765625,0.006773002808139326,0.006108965109163635,0.0043752040856376,1.2717921149203013,0.9637347408738857,0.9696684602194124,0.9212813363929054,0.9656233399141645,0.9570951511165917,0.9555166217564178,1.2045141723948842,1.3196030815086892,0.585068809752905,1.122432193299146,0.758823381108352,0.9117346095956987,1.4776928029542893,1.4591244009737703,0.2827801851033021,0.3154363212903466,0.23414196198315693,0.3802076617720047,0.3415501674293383,0.4518621344069068,0.7900162858798464,123.3751101242158,110.6623584383079,92.55980701718539,68.11925421198588,123.06634826614453,140.12920768167365,176.20529002771693,158.41477245171856,124.49539732660303,313.9843853244683,50.24919437420333,74.20532601210788,138.16589808165654,122.72282611351461,71.11578255244628,0.375,0.875,1.375,1.875,2.75,0.25,0.75,1.25,1.75,2.125,0.875,1.75,2.375,2.875,4.0,0.625,1.25,2.25,2.875,3.5,0.375,1.0,2.375,2.75,3.375,0.625,1.0,1.5,2.0,2.5,distracted
0.25,0.375,0.875,0.5,1.0,0.75,1.5,1.625,1.375,0.25,0.375,0.875,0.5,1.0,0.75,1.5,1.625,1.375,0.25,0.375,0.875,0.5,1.0,0.75,1.5,1.625,1.375,0.25,0.375,0.875,0.5,1.0,0.75,1.5,1.625,1.375,0.100341796875,0.9950753348214286,0.001083521559666824,0.0004886451370676264,5.156963382854935e-05,9.964408730567925,-1.4048362165106347,0.07404273022589301,-0.5932157767953985,0.1234454431861276,3.1348580583381467,1.0841883655359061,1.2949517731870848,-0.1875842043218383,0.1490478515625,9.5703125,-3.745880126953125,8.553466796875,0.0443115234375,0.9693603515625,-1.697235107421875,-16.04522705078125,-8.792724609375,0.112060546875,0.104736328125,0.04144287109375,11.267547607421875,12.299346923828125,17.34619140625,0.10791015625,0.99664306640625,5.794525146484375,-6.77398681640625,-1.742095947265625,0.03291688866929595,0.022105319203025012,0.0071812000270532325,3.1566451702033165,0.9901514936525675,0.9821389828622933,0.9444936876635491,0.9834430530855824,0.9842151136236365,0.989148377175046,7.1619076876605074,5.325118804904993,4.980855740304336,1.703288101030682,0.36748613989860723,4.404658279040227,3.4451329673067588,2.7578103394417366,0.7259872952106473,0.46242510076265203,0.2545929793845039,0.7253904521914839,1.0517422680483361,0.5998214555248887,0.768212553407105,434.9560512690456,432.13495842982303,272.79061949030825,60.36641895352532,45.603499550921086,412.4448057065341,528.7886914035613,22.04891440024234,68.41231605228995,60.07516455165,846.2033337257376,524.319168097136,160.83384819944,85.08164783460725,73.17710165195295,0.375,1.875,2.25,3.625,4.375,0.5,1.75,3.0,4.125,4.875,0.375,1.75,2.75,4.375,5.0,1.25,1.75,3.125,4.625,5.625,0.625,2.375,4.625,5.25,6.375,0.5,2.25,3.75,4.625,5.625,attentive
0.25,0.625,0.5,1.0,0.375,0.75,1.125,1.5,1.375,0.25,0.625,0.5,1.0,0.375,0.75,1.125,1.5,1.375,0.25,0.625,0.5,1.0,0.375,0.75,1.125,1.5,1.375,0.25,0.625,0.5,1.0,0.375,0.75,1.125,1.5,1.375,0.0937799191942402,0.9932239008884803,9.932762288583526e-05,2.9015907759706456e-05,9.468137856407542e-06,1.0933421812022748,0.07695549155841516,0.2776595585238615,0.36722004224242255,-0.4817668736196765,-0.4419017751449572,-0.14756402459459306,0.5425389118566932,-0.3561636552371952,0.102294921875,7.858123779296875,-3.626251220703125,-0.964508056640625,0.08148193359375,0.9884033203125,4.18701171875,-8.411407470703125,-4.77020263671875,0.042236328125,0.02081298828125,0.01171875,3.671112060546875,4.78515625,3.805694580078125,0.09454345703125,0.99310302734375,5.839385986328125,-5.96649169921875,-3.087921142578125,0.009966324442131877,0.005386641603049757,0.003077033938130605,1.0456300403117131,0.9925674553644556,0.9855754303868048,0.9462720787086217,0.9830549491723981,0.9831726492938975,0.9741215532271801,3.6507032483004114,0.7261150027806043,1.3029980969437482,1.2753964529323922,1.7257824647904174,1.1393162898376605,1.1154153189284168,1.6058906626932685,0.4575621285508348,0.47454279847334685,0.5556666161013183,0.4015165016813432,0.26982448713371165,0.45620646441694335,0.47724856090918516,197.72054845879703,119.75510118085812,232.73228952613331,40.19328266928051,96.06059722384923,159.40045767236342,246.44253851780653,246.51558779463917,139.53965549549574,64.60246798475391,79.20017543550132,199.1338627365241,107.11012715011383,164.36731487556455,179.4545745489145,0.25,0.75,1.125,2.0,2.375,0.25,0.75,1.25,2.25,3.0,0.5,1.0,1.5,2.125,2.5,0.25,0.625,1.25,2.0,2.375,0.25,0.875,1.625,2.5,3.25,0.75,1.25,1.875,2.625,3.0,distracted
0.25,0.375,0.75,0.625,1.25,1.125,0.875,1.625,1.75,0.25,0.375,0.75,0.625,1.25,1.125,0.875,1.625,1.75,0.25,0.375,0.75,0.625,1.25,1.125,0.875,1.625,1.75,0.25,0.375,0.75,0.625,1.25,1.125,0.875,1.625,1.75,0.09236283735795454,0.9953197132457386,3.5972917143673866e-05,2.205525058208703e-05,6.42589634814222e-06,0.41780464450141286,0.2748763882154578,-0.42458958662140295,-0.035302667565626944,-1.0431589850834593,2.0749519460494716,-0.9680931794481471,0.12994269491507193,-0.7774389965187534,0.1011962890625,6.646881103515625,-4.523468017578125,-1.981353759765625,0.08355712890625,0.99017333984375,4.702911376953125,-7.588958740234375,-3.9178466796875,0.02386474609375,0.01763916015625,0.01409912109375,1.9439697265625,3.06549072265625,1.936492919921875,0.092681884765625,0.995819091796875,5.525360107421875,-6.2506103515625,-2.654266357421875,0.0059977426706781835,0.004696301798445989,0.0025349351763195483,0.6463780971702343,0.9810456476633299,0.9815980772326167,0.9021999859553108,0.9819281712672717,0.9649599579994206,0.9624137314093318,1.1193825440577851,1.2088231916382766,1.085282044775827,1.1738758695853102,0.8614743605979595,1.0010768974659536,1.0973555068910765,0.6290162303349537,0.514829794790019,0.4072718625628454,0.04451458173515324,0.15892406190102984,0.1994166250447806,0.14618609931947446,0.3621045447313707,118.12203550349585,113.3435739378464,70.1816247880734,48.218708037132316,61.581180210702726,104.9926738792663,107.15104851591394,83.58735241995248,100.34528984898287,69.8580979901345,86.38634638373478,82.84580043270304,62.60865741012317,92.22840249619928,78.76205122563836,0.5,1.125,1.75,2.25,2.875,0.5,1.125,1.625,2.25,3.25,0.375,1.0,1.875,2.5,3.5,0.5,1.125,2.125,2.75,3.375,0.5,1.0,1.625,2.25,2.75,0.5,1.625,2.375,3.0,3.875,distracted
0.25,0.375,0.5,1.0,1.125,0.875,0.625,1.75,1.25,0.25,0.375,0.5,1.0,1.125,0.875,0.625,1.25,1.75,0.25,0.375,0.5,1.0,1.125,0.875,0.625,1.75,1.25,0.25,0.375,0.5,1.0,1.125,0.875,0.625,1.75,1.25,0.09218661345583101,0.9947117640319483,2.7278519970649585e-05,1.4132319758808215e-05,4.836681454255871e-06,0.3866827088177716,0.18683730090753767,0.020281372823719217,-1.1271674755253895,0.059936253443377385,-0.2110948373354815,-0.9773019204346745,-1.3035921758944367,-1.2288773597221927,0.099365234375,6.57958984375,-5.33843994140625,-2.04864501953125,0.08404541015625,0.989501953125,5.166473388671875,-7.364654541015625,-3.33465576171875,0.0185546875,0.01531982421875,0.0098876953125,1.413116455078125,2.026214599609375,1.2860107421875,0.09185791015625,0.9951171875,5.749664306640625,-6.467437744140625,-2.691650390625,0.005222884257826281,0.003759297774692531,0.002199245655731954,0.6218381693155958,0.9755329313543782,0.9741847435932998,0.904792513662511,0.9668498350009356,0.9738210332001845,0.9736150841442653,0.3458140578615838,0.9061049842419707,0.8942672180732029,0.2843354964357963,0.42620871105270264,0.6491177188996413,0.39906532763364005,0.3563349335348249,0.22641367958149877,0.2034297129376146,0.18507640596527125,0.10982034096769773,0.10004194216019364,0.18213256399091943,0.17406206843520497,53.26630917322911,50.68881290870544,53.946240745204776,34.34181820467926,35.2395592275193,89.50447697889075,98.05118004683418,56.426145106739554,24.396016281555433,43.87245930343608,58.26008132899707,27.084220348590737,57.494635663434536,31.38510217180752,28.645869283829576,0.375,1.125,2.125,3.0,3.625,0.5,2.0,2.625,3.625,5.5,1.125,2.125,3.0,3.875,5.25,0.875,1.75,2.625,3.5,5.125,1.0,2.0,3.5,4.625,6.375,0.5,1.25,2.125,3.5,4.5,attentive
0.25,0.375,0.75,0.625,1.25,1.125,0.875,1.625,1.75,0.25,0.375,0.75,0.625,1.25,1.125,0.875,1.625,1.75,0.25,0.375,0.75,0.625,1.25,1.125,0.875,1.625,1.75,0.25,0.375,0.75,0.625,1.25,1.125,0.875,1.625,1.75,0.10118500331662736,0.9934259378685142,5.1432715212477673e-05,1.706309630118501e-05,6.0034866709212e-06,0.691531796817397,0.8973359724336563,-1.6730355722328503,-0.5225124333537035,0.26994886302423016,1.0132770018347554,0.6676317892083374,0.3137985814899542,2.8856504058915733,0.11090087890625,6.676788330078125,-3.790740966796875,-0.441131591796875,0.09222412109375,0.98553466796875,4.77020263671875,-7.52166748046875,-8.172149658203125,0.030029296875,0.0186767578125,0.0128173828125,1.906585693359375,3.730926513671875,7.73101806640625,0.1007080078125,0.99371337890625,5.973968505859375,-6.280517578125,-2.5421142578125,0.00717166056171635,0.00413075008941294,0.0024502013531383904,0.8315839084646822,0.9855357906687903,0.9768736688182841,0.8976180339766674,0.9677916506846713,0.9796383215228458,0.9833840045257787,1.9074712415020556,1.244113375992036,1.114668404673257,0.5001131230575432,0.9227837751087163,0.719192588945064,0.9622457283019704,0.4037821413046152,0.9035301384270671,0.19938071305665406,0.15776367846277534,0.13911848687850764,0.15812697344828378,0.36119985708575064,0.4498487389020738,62.271443003227915,77.1987506451936,81.09260380908786,26.81602922201442,21.1052235733973,202.84891272484558,133.97616126634176,163.60103606153453,59.94754764349021,64.83575367533902,353.2644147255818,315.6272241404374,235.06784925331084,194.52284701230317,231.33125680511182,0.375,1.125,2.125,2.625,3.25,0.25,0.875,1.375,1.875,2.375,1.125,2.25,3.0,4.75,5.5,0.75,1.875,2.875,3.75,4.375,0.375,1.25,1.875,2.875,4.0,0.25,0.875,1.375,2.125,3.125,distracted
